上海餐厅,彦悦山(环球店),分店,四星商户,297,26,7.8,8.7,8.5,面包甜点,陆家嘴,世纪大道100号环球金融中心三楼310号商铺(大蔬无界)
上海餐厅,早安巴黎(正大广场店),分店,四星商户,1793,37,8.0,8.1,7.8,面包甜点,陆家嘴,陆家嘴西路168号正大广场中区B2层(近东方明珠)
上海餐厅,满记甜品(正大广场店),分店,四星商户,2974,33,7.2,6.7,6.7,港台甜品,陆家嘴,陆家嘴西路168号正大广场西区5层(近东方明珠)
上海餐厅,蜜途翻糖蛋糕定制(国金ifc店),总店,四星商户,130,1731,7.4,7.6,7.6,面包甜点,陆家嘴,世纪大道8号国金大厦内(东泰路)
上海餐厅,Baker&Spice;(国金中心商场店),分店,准四星商户,1815,60,7.4,7.4,7.0,西式甜点,陆家嘴,世纪大道8号国金中心商场LG1层LG1-16-2(近浦东大道)
上海餐厅,Little Mermaid Bakery(国金中心商场店),分店,四星商户,719,36,7.7,7.3,7.2,西式甜点,陆家嘴,世纪大道8号国金中心商场LG2层(近东泰路)
上海餐厅,哈根达斯(正大店),分店,四星商户,8191,74,7.6,7.5,7.4,冰淇淋,陆家嘴,陆家嘴西路168号正大广场中区1层GF31室(近东方明珠)
上海餐厅,Godiva(环球金融中心),分店,四星商户,447,52,8.6,8.5,8.1,冰淇淋,陆家嘴,世纪大道100号上海环球金融中心2FNo.221
上海餐厅,浦东丽思卡尔顿aura大堂吧,总店,准四星商户,118,226,7.1,8.7,8.0,面包甜点,陆家嘴,上海浦东陆家嘴世纪大道8号上海国金中心52楼
上海餐厅,星巴克(正大店),分店,四星商户,790,38,7.7,7.6,7.5,星巴克,陆家嘴,陆家嘴西路168号正大广场东区3层(近东方明珠)
上海餐厅,Godiva(IFC商场),分店,四星商户,1741,54,8.0,7.8,7.2,冰淇淋,陆家嘴,陆家嘴世纪大道8号国际金融中心B2楼LG2-30号店
上海餐厅,巴黎贝甜(正大广场店),分店,四星商户,638,33,7.9,8.1,7.8,西式甜点,陆家嘴,陆家嘴西路168号正大广场东区B2层13号(近东方明珠)
上海餐厅,LUCKYLIFE 快乐生活,总店,准四星商户,150,23,7.5,8.3,7.6,饮品,陆家嘴,陆家嘴西路168号正大广场中区5层52号(近东方明珠)
上海餐厅,台北犁记饼店(正大店),分店,四星商户,606,66,8.0,7.8,8.0,港台甜品,陆家嘴,陆家嘴西路168号正大广场中区B2层(近东方明珠)
上海餐厅,恋暖初茶(国金中心商场店),分店,四星商户,810,17,7.9,7.7,7.7,饮品,陆家嘴,世纪大道8号国金中心商场LG2层(近银城中路)
上海餐厅,Gelato by RL.GODA(国金中心店),分店,四星商户,1139,34,7.5,6.9,7.3,冰淇淋,陆家嘴,世纪大道8号国金中心IFC商场LG2(近CitySuper)
上海餐厅,光之乳酪(正大广场店),分店,准四星商户,53,29,7.2,7.8,7.7,西式甜点,陆家嘴,陆家嘴西路168号正大广场B2层
上海餐厅,奇华饼家(国金中心商场店),分店,四星商户,492,88,8.2,7.9,7.7,面包甜点,陆家嘴,世纪大道8号国金中心商场LG2层(近星巴克)
上海餐厅,星巴克(国金中心店),分店,准四星商户,617,40,7.5,7.3,7.3,星巴克,陆家嘴,世纪大道8号上海国金中心D座商场裙房B2层LG2-29室(陆家嘴地铁站)
上海餐厅,每日新鲜水果吧(正大店),分店,四星商户,1517,19,8.1,7.6,7.7,饮品,陆家嘴,陆家嘴西路168号正大广场西区3层08号(近东方明珠)
上海餐厅,哈根达斯(滨江店),分店,准四星商户,2471,84,7.0,7.7,6.8,冰淇淋,陆家嘴,滨江富都段码头北侧端
上海餐厅,酷圣石(正大广场店),总店,四星商户,937,37,7.5,6.8,7.3,冰淇淋,陆家嘴,陆家嘴西路168号正大广场中区B2层S-05,06室(近东方明珠)
上海餐厅,星巴克(正大2店),分店,准四星商户,1165,35,7.2,7.0,7.0,星巴克,陆家嘴,陆家嘴西路168号正大广场东区1层(近东方明珠)
